query,ground,type,result,correct
包含'汉语常用词词频表'的句子,汉语常用词词频表,1,汉语常用词,
汉语常用词词频表,汉语常用词词频表,101,汉词频表,
长长的堤坝或防洪设施。,长堤,1,长长的堤防,
照顾小孩和老人。,携幼扶老,1,照顾+小孩/n+老人,
行为或风格古怪。,古古怪怪,1,古怪,
动作轻柔，不发出声音。,轻脚轻手,1,摸,
包含'说来话长'的句子,说来话长,1,说说话长,
说来话长,说来话长,101,话说回来,
包含重要的是后接空格的句子,重要的是 ,1,重要的是+,
描述回忆过去事件或情景的句子,回忆,1,记得到,
描述出版书籍、文章或其他作品的过程或结果,出版,1,出版+作品/n+写,
描述生命与和谐共存的关系或状态,生，和谐,1,生命和谐,
生，和谐,生，和谐,101,生/v 和谐,
强调重要信息重复三次,重要的事情说三遍,1,重要 (n) 。{count($1)=3},
重要的事情说三遍,重要的事情说三遍,101,重要+事情/n+说+三+遍/v,
一种珍贵的宝石，常用于形容事物的珍贵或美丽。,翡翠,1,珍珠,
数字或序数词与'堆'的组合，可能指数量上的第一组或序列。,第一堆,1,头堆,
可能指代喜欢韩国文化、艺术、音乐等的群体，前后两个'哈韩族'可能用于强调或区分。,哈韩族+哈韩族,1,哈韩族韩粉,
动词后接介词，表示以人权为某种目的或基础。,人权以,1,v人权以,
包含坏的句子,坏,1,坏.,
河流名称，位于中国陕西省,汉江,1,陕西省 河流/n 河,
动词+茶，表示品茶或感叹饮茶之事,叹茶,1,茶是,
动词+来，表示到来或带来,开来,1,进来,
包含'中国和马来西亚'这个词语的句子,中国和马来西亚,1,中国/ns+和+马来西亚/ns,
中国和马来西亚,中国和马来西亚,101,中国/ns+马来西亚,
可能描述物体表面有斑点、不平整的状态，或者比喻经历丰富、留下痕迹。,斑斑,1,斑驳,
表示除了前面提到的内容之外，还有和谐这一共同点。,以及和谐,1,除了...和谐,
表示虽然存在困难或挑战，但仍有解决的可能性。,也未可,1,虽难但可,
与品鉴、评价相关的行为或描述,品味,1,评酒,
描述中庸之道或和谐状态的句子,中庸和谐,1,调和,
历史时期、时代变迁或文化背景相关的句子,时代,1,古代,
表示惊叹或疑问的语气词，用于口语交流,呀，,1,呀？,
表示接下来要说或解释的内容,那说来,1,再说一遍,
表示似乎更愿意选择某种方式或结果,似乎宁愿,1,似乎更愿意,
用于评价或反思某人的言论,这话说的,1,评说,
表示事物之间的联系或关联。,相关,1,乎连,
表示对某观点或陈述的同意或引用，用于进一步说明或展开话题。,照这样说,1,说的好！,
表示在国际关系、外交政策或其他领域中追求和平、合作和友好交往的目标。,和谐对外,1,和平外交,
作为连接词，表示并列、同时或综合的关系，用于连接概念、事物或动作。,及,1,既...又...,
不协调、不合拍的状态,不着调,1,不和谐,
加强国家稳定和安全的措施或目标,安邦定国+安邦定国,1,保安全,
箱子或袋子,箱包,1,包,
表面上看起来愿意,似乎愿意,1,表面上看起来愿意,
未知含义,处置,1,搞了,
未知含义,处置,1,搞了,
未知含义,处置,1,搞了,
未知含义,处置,1,炸了,
生活之后接和谐,生活和谐,1,生活/vn+和谐,
"包含""水一程，""的句子",水一程，,1,"水一程，""",
单个词语,尊重科学,1,诚心,
单个词语,尊重科学,1,脸孔,
单个词语,尊重科学,1,联系,
单个词语,尊重科学,1,大概,
包含‘面子’重复出现两次的句子,面子不面子,1,面子面子,1
以‘唱’开头，以‘歌’结尾的句子,唱 歌,1,唱+歌/n,
单独的词汇，可能出现在句子中,白旗,1,退休,
单独的词汇，可能出现在句子中,白旗,1,套,
单独的词汇，可能出现在句子中,白旗,1,份儿,
单字短句，句首为结合，在之间有空格,结合在,1,combined,
半天后邻了,了半天,1,半天后邻了,1
飞扬后邻飞扬,飞飞扬扬,1,飞扬/v+飞扬,
通常用来指代特定事物的常见名称或通俗说法,俗称,1,叫兽,
表示无法理解或解释某个复杂或抽象的概念,理解不了什么,1,必不裂解,
勉强达到满意或合格的状态,凑凑合合,1,勉强,
表示程度或感觉的轻微或强烈,有点儿很,1,浅浅,
表示迅速或强行前进的动作,冲上来,1,赶紧v,
用于称呼特定的公司、组织或个人,宝号,1,于此n,
描述事物逐渐增长或发展的过程,长得越来越高,1,逐渐长,
日常交流的行为,说话,1,对话,
引出一个出乎意料或讽刺的事实,可笑的是,1,事情太讽刺了,
形容对事物不感兴趣或无动于衷的态度,漠不关心,1,无关紧要,
包含'派'后跟一个动作或状态的句子,派过,1,派+V下,
包含'异'和'和谐'两个实体名称，中间用逗号分隔的句子,异，和谐,1,异/a+和谐，,
异，和谐,异，和谐,101,异/d+和谐,
包含否定词'没'和动词'开玩笑'的句子,没开玩笑,1,没+开玩笑/v,
无法解析具体含义，可能为特定词语或文本,松紧,1,靶子,
无法解析具体含义，可能为特定词语或文本,松紧,1,答答,
无法解析具体含义，可能为特定词语或文本,松紧,1,靶子,
所+噶+的组合，具体含义需进一步明确,所噶+,1,所+噶/d+的,
忠诚至死不渝的态度,忠心赤胆,1,忠诚不二,
说话或做事的方式或风格,腔调,1,的些,
音乐旋律的和谐或协调,旋律和谐,1,调和谐,
副词接极其不,极其不,1,极其不a,
形容词接够诚意,够诚意,1,够a诚意,
名词,渣男,1,声音,
啄后面离合出现破,啄破,1,啄*破,
和谐后接的音,和谐的音,1,和谐+v,
包含过一，。的句子,过一，。,1,过一。,
对后面接吧,对吧,1,对/p 吧/d,
表示提及某事会引起不愉快或尴尬的情绪，常用于对话,别提了，,1,真不好意思,
表示生物体发育初期阶段的形态或组织,胚胎,1,嫩芽,
表示对人权的重视或天性赋予人权的观念,人权天,1,人权本性,
包含文字读起来的句子,文字读起来,1,读起来,
包含严格和讲的句子,严格讲,1,严格来讲,
包含日日夜夜这个词语组合的句子,日日夜夜,1,日夜,
日日夜夜,日日夜夜,101,日夜 relative,
作为一个整体的词汇或短语,传达和谐,1,还是,
作为一个整体的词汇或短语,传达和谐,1,面点,
作为一个整体的词汇或短语,传达和谐,1,配合,
作为一个整体的词汇或短语,传达和谐,1,面面俱到,
副词 + 欢喜,欢欢喜喜,1,d欢喜,
副词 + 无,无怪乎,1,d无,
名词,渣男,1,精神,
副词 + 既然,既然如此,1,既然a,
别提这个短语,别提了,1,别提,1
嫩跟了嫩,嫩嫩,1,嫩/a+了/v,
条件词,如果,1,条件/q,
动词后接的词汇,却瘟,1,呈现,
描述关系的词汇,相互保,1,亲,
拟声词,唧唧,1,吧了吧,
包含一个标点符号后紧跟'i'，然后是'。'的句子,，+(i)+。,2,w+i。,1
"包含""w+v""之后得稍再加上""a+w""的句子",w+v得稍a+w,2,w+v+稍+a+w,
名词 '半夜' 后面紧跟着形容词 'd',半夜 d,2,半夜+d,1
形容词 '老' 后面紧跟着名词 'n'， 表示 '老了',老n了,2,老n,1
时间词左右,t左右,2,左右w,
让接一个动词，接他接一个动词,让他v他就v,2,让v+他+v,1
包含该后接名词s的句子,该 n s,2,该+n+s,1
包含一后接a再接n的句子,一 a n,2,一+a+n,1
p和r作为一个组合实体,p+r,2,(p)+(r){$1=$2},
能之后，紧接着动词，多少作为独立的实体，再接就多少,能V多少就多少,2,能+v+多少,
动词得后接副词可以,得可以w,2,v得可以,
动词后接冤,v冤了,2,v冤,1
动词后接哪哪,V哪V哪,2,v哪哪,1
哒 声音词 的句子,o哒,2,哒/y 声,
多 动词 的句子,多+v,2,多v,1
N 名词 后接 人 的句子,N人,2,N 人,1
询问有什么好做的事情，vn表示动词，后面跟'的',有什么好 vn 的,2,有什么好做+vn+的,
形容词a修饰的'中'，后面跟着动词v，最后是形容词a,a中v着a,2,中a v a,
动词在后面跟着名词N，再跟着'上',在N上,2,V在N上,
N后面紧跟着难，然后是动词V，句尾是句号,N难V。,2,./n 难 V ，,
动词后接自己,v我自己,2,v自己,1
动词后接名词再接动词再接下去,V+N+下去,2,V n v下去,1
动词后接名词再接动词再接了,(v)+n+(v)了,2,v n v 了,1
我作为主语，后接形容词我的，表示所属关系,我v我的,2,我+我的/r,1
一对是名词，表示成双成对的事物,一对n,2,一对,
y是语气词，表示评价或感叹,挺好的y,2,y,
动名词后接得，表示动名词加得的组合,v+n+v 得,2,vn+得,1
区别词后接形容词再接的，表示区别词加形容词和的的组合,d + a 的,2,d+a的+w,
名词后接一棵再接名词，表示名词加一棵和名词的组合,m + 棵 + n,2,一棵n+n,
否定词后接动词再接名词，表示否定词加动词和名词的组合,不 v 此 n,2,没+v+n,1
包含'不'后面接形容词，然后接名词的句子,不a不n,2,不a n,1
包含动词'v'后面接'v了'的句子,v v了,2,v+v了,1
包含'特别'后面接名词的句子,特别  n,2,特别n,1
动词后接m肩,v+m 肩,2,v m肩,1
数量词后接尺名词,一 尺 n,2,m尺,
连词后接因为,因为 c,2,因为a,
形容词后接典礼,a 典礼,2,a典礼,1
名数构成的量词后接名词,m+节+n,2,m的n,
形容词听后接起来,听起来a,2,a听起来,
包含管后面紧跟名词，再紧跟叫的句子,管n叫,2,管*n叫,
包含动词后紧跟得正，后面紧跟形容词，最后紧跟动词的句子,w v得正a w,2,w得正a v,
动词+动词,V+V,2,受用/v+受用/v,
专名后接提拔,nr提拔,2,ns 提拔,1
动词有什么后接好、名语素Vg、形容词的,有什么好+Vg+的,2,有什么好Vg的,
动词后紧跟着名词,(v)与(n),2,v上n,
以'V'开头的词，后面紧跟'个'，再紧跟以'V'开头的词,V了个V,2,(V)个(V){$1=$2},
被后紧跟着名词，然后是动词，最后以一下结尾,被n+v一下,2,被n v一下,1
动词后紧跟着老年,v老年,2,v 老年,1
把、名词后接踩,把 n 踩,2,把N踩,1
动词后接错,V错,2,v错,1
名动词后接经验,p经验,2,经验n,
动词短语，表示‘突然变化或变换动作’的意思,忽v忽v,2,瞬间+变成/v,
形容词后接动词，表示‘增加速度’的意思,a加速,2,a的速度增加,
动词短语，表示‘仍然或仍旧’的意思,依然v着,2,依然+nr+r,
动词短语，表示‘熬煮’或类似长时间加热或烹饪的意思,d熬,2,煮,
动词说后接名词给，再接r,说n给r,2,说给n r,
包含形容词'a'后接'死了'的句子,a 死了,2,a死了,1
量词后接口,m口,2,q接口,1
动词把后接名词n，然后是动词v，最后是了,把+n+v+了,2,把 n v 了,1
形容词r后接两个动词v，中间逗号隔开，然后是的，最后名词n,r v v 的 n,2,r+v+的+n,
动词后面接名词 '一颗',v一颗,2,一颗n,
名词后接这和名词,这n r,2,这n了,
方位词后接横竖,横竖d,2,f横竖,1
人名后接欺骗,nr欺骗,2,nr*欺骗,
数量词后接名词,一袭N,2,一支n,
动词后接不，然后比，再接两个名词,不比n+n+,2,不比n n,
两个名词后接搭建,n n 搭建,2,n+n+搭建,1
标点后接各+量词+名词,w各一q,2,w各q n,1
代词后接把+动词+的+标点,把r+v的w,2,r把v的+,
名词n后接动词拿、名词n、动词v,n 拿 n v,2,n+拿+n+v,
动词后接死了，再接句尾,v死了w,2,v 死了。,1
名词后接看法，再接形容词,看法a,2,看法 w,
形容词后接统一，再接vn,统一vn,2,a统一vn,1
依照后面跟着名词,依照n,2,依照*n,
刷后面跟着动词v,刷v,2,刷+v,1
一后面跟着名词n，再跟着动词v死,一n+v死,2,一n v死,
动词'把'后接名词， 然后在名词后面接'在',把N糊在,2,把n在n,
名词后接'迈',m迈,2,迈什么n,
名词后接两个名词， 再接动词,每年n n v,2,一年n+n+v,
名词后接'人人',人人w,2,人人n,
创建后接一个名词，然后重复该名词,创建n n,2,创建++n+,
原本或本来后接形容词,本来d,2,[原本 本来]d a,
尤其后接动词,尤其 v,2,尤其+v,1
名词并后接名词，再接着,(n)并(n)着,2,并n再n,
在名词后接方位词,在n f,2,在n+f,1
动词后接名词,v号房,2,给n,
名词后接连词，再接名词,连n都,2,经不起n*n,
动词后接动词,说a就a,2,v了v,
形容词 '太好' 后面紧跟着一个 '了',太好a了,2,太好/a 了,1
方位词 '关' 后面紧跟着一个 'c',关+c,2,关c,
动词 'v' 后面紧跟着一个 '有加',v有加,2,v 有加,1
包含‘请求’作为动词的句子,请求v,2,请求/v,1
包含动词‘进’后接动词‘来’的句子,v进来,2,V进来,
包含感叹号后接名词、‘是’、名词、感叹号的句子,!+n是n+!,2,！n是n！,1
包含动词‘抓’后接名词的句子,抓紧N,2,抓着n,
动词后接'哭了',v哭了,2,哭了n,
名词后接'精神',精神a,2,精神n,
有什么 + 好 + 助词 + 的,有什么好+l+的,2,有什么+好/u+的,
动词 + 醉了,v醉了,2,醉了,
一些 + 形容词,一些a,2,一些 a,1
名词 + '室',n室,2,N室,1
名词 + '耳',耳n,2,N耳,1
一后接名词月亮,一n月亮,2,一月亮,
关后面接动词,关+vn,2,关*v,
否定词后接动词和助词,没 v p,2,没+v+p,1
动词后接妥当了,v妥当了,2,v妥对了,
v妥当了,v妥当了,102,v妥对了,
了之后又动词、之后又动词、之后又动词,了又v v了又,2,了又v+v+v,
动词学、名词坏,学坏n,2,学/v+坏,
作为原因的单词,原因w,2,原因是w,
你说了 我 是 不 是 的 句子,你说我a不a,2,你说 I 是 不 是,
写 + 单词 N 的句子,写N,2,写n,1
我的 + 名词 的句子,我的+n,2,我的n,1
w之后是我，之后是一个n词性，之后是w,w+我一个n+w,2,w是我n+w,1
没有之后是动词,没有+V,2,没有V,1
形容词后接鬼,a 鬼,2,a鬼,1
正在进行时的动词,正在 V,2,进行v,
副词后接形容词，再接形容词，最后空格,(d) + (a) 的,2,d a得a,
形容词后接专人,a 专人,2,a专人,1
包含两个名词，第一个名词后接'比'，再接一个形容词的句子,n比n+a,2,n比n*a,
包含形容词修饰名词'王'的句子,a+王,2,王a,1
包含动词挨后面跟名词n和m的句子,挨了n m,2,挨n m,1
包含动词v后面跟着m m q的句子,v着m m q,2,v m m q,1
包含动词v后面跟一再接名词的句子,v一n,2,v一再n,
外动词 + 内动词，表示对外部和内部同时进行的动作,外 v 内 v,2,外V内V,1
我为主语，这个为宾语或形容词，表示我这个（某物）,我 这个 n,2,我这个../n,
我 这个 n,我 这个 n,102,我这个n,1
不比为动词，表示比较或对比,v 不比 v,2,不比,
动词 + 了 + 二 + 名词,v了二q n,2,v了二n,1
副词 + 动词 + 副词,d v r,2,d+v+r,1
人名后接人名后接动词,他n+n+v,2,nr n v,
量词后接都,每q都,2,m都,
逗号后加多次动词的句子,，多次v,2,， v多v,
不论加名词还是加名词的句子,不论n还是n,2,不论n+n,
经验加u的句子,经验+u,2,经验u,1
动词后接'得越'，然后接形容词，再接动词,w + v 得越 a + w,2,v得越a v,1
动词后接'教训',v 教训,2,v教训,1
否定词后接名词，再接动词,无 + n 可v,2,没+n+v,1
否定词后接动词,没几 v,2,没+V,
动 下来了,V 下来了,2,V下来,1
r 阿 Q,r+阿+Q,2,r 阿 Q,1
表示对过去行为的回顾或强调动作的持续性,还v+w,2,打过,
可能表示某种情感的表达或动作,m掬,2,或许+../v,
m掬,m掬,102,m这样您就可以,
表示动作持续了几秒,v了几秒,2,了一秒[， 。],
表示寻找或说明某事发生的原因,v原因,2,为什么,
以'不'开头，紧接着一个动词，然后是'白不'，再接一个动词的句子,不(v)白不(v),2,不V白不V,
动词后紧跟着'衣冠楚楚'的句子,衣冠楚楚v,2,v衣冠楚楚,1
动词后紧跟着'了二q'且q为量词的句子,了二q,2,v了二q,
名词后接动词,感情v,2,storm v,
语气词后接呢,还u呢,2,呢r,
名词后接名词,n型n,2,为n而n,
副词后接动词,还+v,2,很 V,
依赖 + 名词,依赖N,2,依赖n,1
动词 + 上海,v上海,2,看得+上海/n,
"副词""还""之后紧跟""j""，之后为""呢""",还j呢,2,还d+j呢,
"动词""看""之后跟动词""r""，之后为""v""，之后为名词""的""，最后为""w""",看r v的w,2,看r+v的w,1
时间后接一，再接量词和名词,时间是一q,2,时间一q+n,1
w后接名词，再接外的，外的后接名词，最后w,w n 外的n w,2,w+n+外的n+w,1
往后接名词，再接动词,往+n+v,2,往后n+v,1
在后面接名词、钉,在N钉,2,在n钉,1
太后面接形容词、一、点,太n了一点,2,太+a+点,
后接m，再接量词，再接名词,那后m+q+n,2,里m q n,
副词后接动词,还+v,2,d v,1
动词后接'啊'（拟声词），然后接'的'（助词），表示口语化的表达,V啊V的,2,v啊m的,
表示程度非常高的形容词后接'了'，表示非常,可a了,2,非常a了,
动词后接两个名词，表示结果或影响,使得n+n+,2,v n n[， 。],
名词后接'一个'（量词），表示单个的或特定的数量,我一个n,2,n个,
动词后接着玩,v着玩,2,v 玩,1
句首w后接v，v后接个，个后接名词n，最后再接w,w v 个n w,2,w v 个 n w,1
d和d并列使用的句子,d和d,2,d d,1
w之后很a的是w组成的句子,w 很a的是 w,2,w+很a+是w,
形容词后接名词,a变革,2,a上楼,
名词后接绿，绿后接名词,n绿n,2,m+绿+n,
位于某个地方的半岛区域,a半岛,2,在/p+半岛,
倒或喝一杯液体的动作,v一杯,2,v 一杯液,
充满或达到容量的动作或状态,v满了,2,填满,
说话的方式或风格,口吻w,2,说语,
问句形式，询问有什么好形容词+的,有什么好+d+的,2,有什么好a的,
动词'不敢'后接某个词的句子,不敢v+w,2,不敢v,
形容词后接表示不堪的句子,不堪v,2,不堪a,
形语素后接量词和名词的句子,那前m+q+n,2,m q n,
形容词后接表示不大的句子,大不a,2,不大a,
心情作为动词后接'上',心情V上,2,心情/v+上,1
名词后接这和那,n这n那,2,这那n,
形容词后接信息,a信息,2,信息a,
概念作为名词后接形容词,概念a,2,概念/n+a,1
比较后接动词把、名词、动词了,比较把n v了,2,比较把n+v了,
名词的后接上、助词,的n 上 w,2,的n+上+w,
动词后接过、名词、动词来、句尾点,v过n来。,2,v过n来q+,
动词之后接散，散之后接s,v+散+s,2,v散s,1
代词r之后接d,r+d,2,r d,1
名词之后接房，房之后接名词媳妇,m房媳妇,2,n 房 媳妇 /n,1
包含名词'调查'的句子,调查n,2,n调查,
包含标点符号'，'后紧随名词'众'的句子,，众n,2,，+n+众/n,
每个后接名词，名词后接都,每个n都,2,每个n都n,
怎么后接动词，动词后离合出现的为N的句子,怎么V的N？,2,怎么V的N,
一后接动词，动词后离合出现就是,一V就是,2,一v*就是,1
动词后接'你'这个代词，然后是数词和名词，具体动作由上下文决定,v 你 m n,2,v+你+m+n,1
动词后接否定词，表示某事难以避免或很难不想,想不v都难,2,v不了,1
动词表示尚未发生或未完成的动作,未v,2,没v,
副词后接动词，表示极好的程度,太好v了,2,很+v得,
以抖音为结束的二字动词句子,w+v抖音,2,../v+抖音,
包含'吃'后面直接接动词的句子,吃 vn,2,吃 v,1
包含'被'后面接名词的句子,n被,2,被N句,
动词后面接'了'、数词、'下午'、定冠词再接名词的句子,v  了 m  下午 的 N,2,v 了 m 下午 ， n,
动词前接动词，后接动词。,v前v后,2,v+v在v,
e。,e,2,e。,1
有什么后接好，再接动词，最后接形容词,有什么好 v 的,2,有什么好+v+的,
立这个动词,立s,2,立/v,1
逗号后接但是这个连词,，但是v,2,、但是,
形容词那么后面接一个词，表示程度加强,那么a+w,2,那么......,
介词从中后接把，再接动词，表示动作从某物中取出,从中把n v了,2,从中把V出,
动词忽略，表示忽视或不考虑的行为,忽略n,2,忽略v,
尤其后面接名词,尤其 n,2,尤其+n,1
名量词后面接劳动,劳动m+q,2,m劳动,
动词 '分' 后接动词 '析' 的句子,p分析,2,分+析,
名词 '外' 的句子,n外,2,外n,
动词 '份' 后接动词 '一' 的句子,v一份,2,一份一v,
格外之后接形容词，后面跟着一个空格，再接名词,格外a n,2,格外 a n,1
经历之后接动词,经历+d,2,经历v,1
名词后接梗,梗n,2,n梗,1
动词后接洋气,v洋了,2,v洋气,1
量词后接口、名词,m+口+n,2,一接口n,
倾向后接助词,倾向w,2,倾向@,
动词 v 后接 来 v 后再接 去,v来v去,2,v 来 v 去,1
动词 v 后接 v 了 w,v+v了w,2,v+v了+w,1
观点后接 v,观点v,2,观点/n+v,
动词那么后面接形容词或名词,那么v w,2,那么v+w,
副形词说,ad说,2,说a,
动词后接有，再接量词和名词,w有两q,2,有m q n,
疑问词后接名词，再接是，再接名词，最后疑问词,？+n是n+？,2,w n 是 n w,
量词后接一套,一套N,2,m一套,
形容词后接古老的,古老的N,2,a古老的,1
形容词大力后面紧跟把，然后是名词n，最后动词了,大力把n v了,2,大力把n+v了,
形容词如此后面紧跟a，再跟一个词,如此a w,2,如此a+w,
名词后接自身,n自身,2,n自己的n,
动词后接悲哀,悲哀V下,2,悲哀n,
数字后接名词,一辈n,2,一头n,
情况后接量词和名词,q情况,2,情况在q+n,
名词后接后遗症,n后遗症,2,n 遗症,
形容词后接情绪,a情绪,2,情绪a,
在图书馆动词,在图书馆V,2,在图书馆v,1
形容词后接前、名,前m名,2,a+名/n,
连词后接动词、也,连v也,2,../v也,
一吨后接名词的句子,一吨n,2,一吨 n,1
形容词a后接一点的句子,a一点,2,a一点是,1
名词后接名词的句子,n+n,2,n就n,
不得后接动词v的句子,不得v,2,不得+v,1
真的后接动词，后接了，w,真的是v了w,2,真的v了w,1
d后接太好了,d太好了,2,d 太好了,1
发生后接名词,发生n,2,发生+n,1
形容词 + 的 + 名词,a 的 n,2,a+的+n,1
名词'nr'后面跟着疑问词'在哪里'的句子,nr在哪里v,2,nr在哪里,1
名词'面'后面跟着名词'n'的句子,m面n,2,m n,
名词'事'与'愿违'连续出现的句子,n事与愿违,2,事与愿违,
名词后面跟着另一个名词的句子,n+nr,2,n的n,
以名词'大'开头，后面跟着量词和名词的句子,大ns,2,n大q n,
以形容词'得特'后面跟着助词'w'的句子,得特a w,2,得特a+w,
为后接动词,为v,2,为/v,
好后接动词,好 v,2,好+v,1
动词后接到、s,v到s,2,v到+s,
动词后接请、vn,v请vn,2,请+vn,
动词后接特别,v特别,2,特别v,
数量词后接动词,这么一V,2,一口V,
"动词后跟""死了""",v死了,2,v 死了,1
"把后跟一个名词，然后跟一个动词，再跟""下去""",把 N V 下去,2,把*n v下去,
包含'心情'后接形容词的句子,心情a,2,心情+a,1
包含'愿意'后接动词的句子,愿意+v,2,愿意V,1
包含'我'、动词、名词和助词组成的序列的句子，且我、动词、名词和助词之间没有空格,我v的n w,2,我 (v) 会+。,
把作为检索式,把r,2,把n,
动词后接过,V过了,2,v过,1
动词这么后接拟声词,这么v+w,2,这么v*r,
形容词后接亲戚,a 亲戚,2,a亲戚,1
动词后接了，再接礼，句尾为句号,v 了 礼。,2,v了礼。,1
m后接块，块后接钱,m 块 钱,2,m+块+钱,1
n后接里，里后接n,n里的n,2,n里n,1
没后接动词，动词后接名词，名词后接动词,没 v n v,2,没+v+n+v,1
形容词非修饰的名词，表示必要性或强制性,非a不可,2,必需n,
形容词这么修饰的名词，表示程度或数量,这么q+n,2,这么n,
时间表述，强调了具体的时刻或时间段,半夜 f,2,now定时,
名词的后面紧跟下w,的n 下 w,2,的n+下+w,
名词尊重后面跟着N,尊重+N,2,尊重N,
v着表示正在进行的动作，n+v表示动作的承受者和动作,v着 n v,2,v着+n+v,
买表示购买，p+n表示购买的对象,买p+n,2,买+p+n,
不表示否定，怎么表示程度，v表示动词，整体表达为不那么做了某事,不怎么v,2,不+怎么/r+v,
疑问词w后面接似乎，再接疑问词,w似乎w,2,w似乎什么,
动词制造后面接名词,制造+n,2,制造n,1
动词后接名词和的后接名词,V n的n,2,V+n的n,1
名词后接ing,n ing,2,n+ing,1
形容词'该'后接量词，表示特定数量的描述,该 q ,2,该m q,
动词'暗中'后接名词，再接动词，表示秘密或隐蔽的行为,暗中把n+v了,2,暗中v n,
我后接只能动词听的组合,我+只能/v+听,3,我+只能/d+听,1
一和名之间用空格隔开的组合,一/m 名/q,3,一+名/n,
瞬间后接一个逗号,瞬间/t+，,3,瞬间 ，/w,1
保安全,保+安全/an,3,保安全,1
n的n感情,n 的 感情/n,3,n的n感情,1
太d,太/d d,3,太d,1
逗号符号后接要动词，且每个词之间没有空格,，/w 要/v,3,， 要/v,1
地域名词后接特征名词，然后接明显形容词，且每个词之间没有空格,地域 特征/n 明显,3,地域+特征/n+明显,
消费后接体验，体验后接的动词再接开始,消费 体验/v 开始,3,消费+体验/v+开始,
单音节动词后接远，后面再接了,./v远 了,3,./v远+了,1
第八十九后接条，条后接量化单位,第八十九/m 条/q,3,第八十九/m+条/q,
顶后接二字动词，二字动词后接单音节名词,顶/v ../n ,3,顶/v+../n+,
"包含""张万年同志""的句子，其中""张万年""是人名，""同志""是词",张万年/nr+同志,3,张万年/nr 同志,1
"包含""艰难困苦，""的句子，其中""艰难困苦""是形容词短语，""，""是标点符号",艰难困苦/i+，/w,3,艰难困苦，,
"包含""属于自己""的句子，其中""属于""是动词，""自己""是词",属于/v+自己/r,3,属于/v 自己,1
"包含""把+n+v了""的句子，其中""把""是介词，""n""是名词，""v""表示存在一个动词",把/p+n+v了,3,把+n+v了,1
房子后接里,房子/n+里/f,3,房子+里/d,
研究动词后接制定，制定后接配套，配套后接举措,研究/v+制定+配套+举措/n,3,研究 制定/v 配套 举措,
半作为一个词性标记,半/m,3,半@,
