query,ground,type,result,correct
逗号后接园区,，/w+园区/n,3,，/w+园区,1
包含疑问词'什么'，之后以问号结束的句子,什么+？/w,3,什么？,
包含'问'，紧接着是'他'，之后是'忙',问 他/r 忙,3,问+他/r+忙,
包含'张智勇'，紧接着是'摄'，之后是'人民',张智勇 摄/v 人民,3,张智勇+摄/v+人民,
包含单音节动词，紧接着是'了',./v累+了,3,./v了,1
"网络后接""时代""，然后句尾接""，""",网络 时代/n ，,3,网络+时代/n+，,
"动词后接""迷途""",为/v 迷途,3,迷途v,
并接不是（c）接今冬,并 不是/c 今冬,3,并+不是/c+今冬,1
重庆（ns）接扩大,重庆/ns 扩大,3,重庆/ns+扩大,1
单音节动词接单音节形容词,./v+./a,3,./v../a,
不（d）接可阻（a）接，（w）,不/d 可阻 ，/w,3,不/d+可阻+，/w,
起动词后接单音节名词，句末有空格,起/v ../n ,3,起/v+../n+,
产业后接同样副词，后接需要,产业 同样/d 需要,3,产业+同样/d+需要,1
好心名词后接好心名词,好心/n n,3,好心/n+n,
会后跟不（d）和会作为连续的词语进行检索,会 不/d 会,3,会+不/d+会,
从后跟哪儿（r）和来作为连续的词语进行检索,从 哪儿/r 来,3,从+哪儿/r+来,
名词后接的真心名词,n 的 真心/n,3,n+的+真心/n,
动词后接亲情名词,v*亲情/n,3,v+亲情/n,1
开放性以句末符号结尾,开放性/n 。/w,3,开放性/n+。/w,
极后接a,极/d+a,3,极a,1
马上（d）后接单音节动词,马上/d v,3,马上 (v),
名词后接空格，再接好意（n）,n 好意/n,3,n+好意/n,1
动词后接好感（n）,v+好感/n,3,v*好感/n,
包含后接许多的句子,了 许多/m 。,3,许多n,
包含表示后接的句子,表示/v+。/w,3,了+V,
包含正深度的描述,正/b+深度,3,正深度,1
包含方便的形容词,方便/a,3,方便a,
人名后接动词,李朝辉/nr+说,3,nr+v,1
动词等,等/v,3,v等,
地名后接人名后接形容词,北京+杨秀宇/nr+有偿,3,以色列+斯/s+恩,
当代 + 文学 + 名词研究会,当代 文学/n 研究会,3,当代+文学/n+研究会,
到位 + 句尾符号,到位+。/w,3,到位/i 。,
中国 + 形容词传统 + 名词节日,中国+传统/a+节日,3,中国/ns+传统+节日/n,
单音节字y + 副词太,y+太/d,3,y太,
的后接就是，就是后接党性，党性为名词,的 就是/d 党性,3,的+就是/d+党性,
坚持后接立行，立行后接立改,坚持/v 立行 立改/v,3,坚持/v+立行+立改/v,
的后接形容词好,的+好/a,3,的+好/d,
"包含""大""作为名词的句子",大./N,3,大n,
"包含""：""、""快艇""和""、""的句子，它们必须是连续的",： 快艇/n 、,3,"："" 快艇 、/w",
"包含""说""和""。""的句子，它们可能是连续的或分开的",说+。/w,3,说.,
名词后接单音节动词，再接动词,n+./n+v,3,n1 v了,
伸后接单音节动词组成的句子,伸./v,3,伸+../v,
为后接中国、工业组成的句子,为/v 中国 工业/n,3,为/v+中国+工业/n,
支持后接力度、。组成的句子,支持 力度/n 。,3,支持+力度/n+。,
省略部分的动词在中间,.../v中w,3,.../v 中,
修饰产权的没,没/d 产权/n,3,产权没,
校园，抓住,校园+，/w+抓住,3,校园/n+抓住,
保驾护航,保驾/vn+护航/vn,3,保驾护航,1
保驾/vn+护航/vn,保驾/vn+护航/vn,103,伴奏/vn+保障/vn,
n之后接污/ng,n 污/ng,3,n+污/ng,1
二○一五年之后接十二月,二○一五年/t+十二月,3,二○一五年/nr+十二月,
立刻之后接就，就之后接v,立刻/d 就 v,3,立刻/d+就+v,
之后接深了,./v深了,3,.深了,
管理局这个名词之后紧跟供图这个动词,管理局/n+供图/v,3,管理局/ns+供图,
该之后紧跟终这个动词，然后是矣这个字,该 终/v 矣,3,该+终/v+矣,
一个动词之后紧跟难了这个字,./v难了,3,./v+难了,
女作为性别标记，之后紧跟n这个量词,女/b+n,3,女+n,
包含非作为单个词的句子,非../n,3,(w) 不{len($1)<2},
包含为和中共作为相邻词的句子,为/v 中共/j,3,为/v+中共/j,
包含在、工作和中作为相邻词，之后紧接着句尾点号的句子,在/p 工作 中 。/w,3,在/p+工作+中+。/w,
让中国后接律师的句子,让 中国/ns 律师,3,让+中国/ns+律师,
推后接../n+的句子,推/v+../n+,3,推后+../n+,
及后接人才，句尾为句点的句子,及 人才/n 。,3,及+人才/n+。,
n后接热气的句子,n 热气/n,3,n+热气/n,
包含老朋友、心心相连/i、句尾有句点的句子,老朋友 心心相连/i 。,3,老朋友+心心相连/i+。,
包含公众、参与度/n、句尾有句点的句子,公众 参与度/n 。,3,公众+参与度/n+。,
包含以'的'开头，然后是'笼子'这个名词的短语,的+笼子/n,3,的+笼子/n+。,
包含'a'、'兴趣'的短语,a 兴趣/n,3,a+兴趣/n,
包含'苦'的短语,苦/a+,3,苦/a,
北京之后紧跟盛玉雷。,北京/ns+盛玉雷/nr,3,北京/ns+盛玉雷/n,
甘肃之后紧跟农业，然后是机械化。,甘肃+农业/n+机械化,3,甘肃/ns 农业 机械化/v,
一个名词后紧跟 女,../n女,3,./n+女,
综合 设置/vn 机构,综合 设置/vn 机构,103,综合+设置/vn+机构,1
a 后面紧跟 恩情/n,a 恩情/n,3,a+恩情/n,1
其他后紧跟法律名词，之后是服务,其他+法律/n+服务,3,及其他+法律/n+服务,
检讨动词,检讨/v,3,检讨v[， 。],
一个空格后跟党,．/v党,3,../n党,
n名词后紧跟诚意名词,n+诚意/n,3,n 诚意/n,1
三字动词后紧跟回忆名词,../v 回忆,3,../v+回忆,
也副词后紧跟格外形容词、理解动词、和连词,也/d 格外 理解 和/c,3,也/d+格外+理解+和/c,
动词'长'跟在'在'后面，之后接'ns+f'这样的名词组合,长/v+在+ns+f,3,长在+ns+f,
形容词'a'后接'的'，之后是'深情'这个名词,a+的+深情/n,3,a 的 深情/n,1
句点后接动词，之后是'./a'，再接'到',./v./a 到,3,./v./a+到,
摄后接人民和视觉,摄 人民/n 视觉,3,摄+人民/n+视觉,
单音节动词后接下,./v 下,3,./v下,1
孙后接洪水,孙/nr 洪水,3,孙 洪水/n,
这是/r + 习近平,这是/r 习近平,3,这是/r+习近平,1
感情/n * 好感/n,v*好感/n,3,感情/n * 好感/n,1
的 ？/w,的+？/w,3,的 ？/w,1
包含动词抓好，紧跟着党建这个名词，最后是作为这个动词,抓好+党建/j+作为,3,抓好/v 党建 作为/v,
包含寒这个名词，后面紧跟句点,寒./n,3,寒+。/w,
包含二字名词和二字动词，每个词之间由空格分隔,../n ../v,3,既/c 又/v,
包含动词守住，后面紧跟公平这个名词，中间由空格分隔,守住/v 公平,3,守住 公平/n,
制约后接伊核和谈判,制约 伊核/ns 谈判,3,制约+伊核/ns+谈判,
如何作为副词后接用,如何/r+用,3,如何d用,
轮后接上涨、的,轮/q+上涨+的/u,3,轮 上涨/v 的,
吃单音节动词,吃/v@,3,(v) 之 {len($1) <= 1},
各项后面跟形容词，然后是新政、落地、速度、快、见效、快、力度,各项/r 新政 落地 速度 快 见效 快 力度/n,3,各项/r+新政+落地+速度+快+见效+快+力度/n,
资格后面跟形容词的，然后是句号,资格 的/u 。,3,资格+的/u+。,
中后面跟国家名澳，然后是自贸,中 澳/j 自贸,3,中+澳/j+自贸,
出现或看见的动作,见./v,3,见m,
黑色星期五的特定事件或现象,黑色+星期五/t,3,黑色星期五,
制造业现代化和进步,先进 制造业/n 发展,3,制造业/n 现代化 进步,
重复或类比的陈述,， 同样/d 如此,3,一样V,
坚定地/u后紧跟说道,坚定+地/u+说道,3,坚定地/u+说道,1
a之后接的，然后接好意/n,a 的 好意/n,3,a+的+好意/n,1
抗战之后直接接家书/n，然后接《,抗战 家书/n 《,3,抗战+家书/n+《,1
从/p之后直接接种植户/n,从/p 种植户/n,3,从/p 接种植户/n,1
副词太之后加名词,太/d+n,3,太n,
动词改变,改变/v,3,v改变,
形容词a之后加好意,a*好意/n,3,a好意,1
醒睡之后加两和非,醒睡+两/m+非,3,醒.睡两非,
动词‘长’后接‘在’，之后是一个空格，再接‘n’和‘f’,长/v+在+n+f,3,长在 n f,
名词‘什么’后接符号‘：’，之后是‘尼泊尔餐’,什么 ：/w 尼泊尔餐,3,什么+：/w+尼泊尔餐,
名词‘立垦’后接‘之’，之后是‘本’,立垦 之/u 本,3,立垦+之/u+本,
名词‘n’后接形容词‘的’，之后是名词‘风情’,n+的+风情/n,3,n 的 风情/n,
化石和猴/n作为并列的词语，最后以句号结尾,化石 猴/n 。,3,化石+猴/n+。,
既来之则安之/c作为前置修饰词，最后接，,既来之则安之/c ，,3,既来之则安之/c+，,
本期/r作为前置修饰词，后接统筹+：+许诺/v,本期/r+统筹+：+许诺/v,3,本期/r+统筹：+许诺/v,1
以+帕萨特/nr后面直接跟符号、,以+帕萨特/nr+、,3,以+帕萨特/nr 、,1
人后面直接跟句点,人 。/w,3,人.，,
苦笑/v后面接着，再接说，后面直接跟句点,苦笑/v 着 说 。/w,3,苦笑/v+着+说+。/w,1
税务后面接审批/vn，再接将,税务 审批/vn 将,3,税务+审批/vn+将,1
数字一后接是,一/m 是,3,一/m+是,1
推动后接饮用水,推动/v+饮用水,3,推动+饮用水/n,
行动后接句尾符号,行动+。/w,3,行动/n 。/w,
对后接*和动词,对/p * v,3,对/p+*+v,
标题在前，书法在后的句子,标题/n 书法/n,3,书法 /n 标题,
动词辛苦的句子,辛苦/v,3,辛苦v,
形容词辛苦的句子,辛苦/a,3,a辛苦,
单音节名词轻的句子,轻../n,3,./n轻,1
包含逗号和'所以'这样的短语，'所以'是连接词,，/w+所以/c,3,，+所以/c,1
包含形容词'扎实'修饰动词'开展',是+扎实/ad+开展,3,扎实开展,
包含'通过服务管理铸品牌'这样的短语，句尾是句号,通过/p+服务+管理+铸+品牌+。/w,3,./v+。+,
开创空间，空间作为一个名词,开创 空间 /n,3,开创 空间/n,1
动词后接爱心，爱心作为一个名词,v+爱心 /n,3,v+爱心/n,1
为要被，描述性结构,为 +要 /v+被,3,为要被，,
培养具有，描述性结构,培养 /v 具有,3,培养 /v+具有,
活后面跟薪酬这个名词,活+薪酬/n,3,活 /v+ 薪酬 /n,
的、法律、意识各自独立的词语,的 法律/n 意识,3,的+法律/n+意识,
单音节动词、句尾标点、形容词各自独立的词语,./v ./a了,3,./v不 a 的,
监督后面接副词不，再接动词留,监督+不/d+留,3,监督 不/d 留,
大后面接二字名词，再接单音节字,大 ../n的w,3,大+../n+,
女士后面接形容词无奈,女士/n 无奈/a,3,女士/n+无奈/a,
罗后面接名词先生，再接动词感触,罗 先生/n 感触,3,罗+先生/n+感触,
包含以名词开头，然后跟着'的'，再跟着动词，最后是动词的句子,n的+./v+d,3,n+的+vw,
包含句首为句点，然后紧跟动词的句子,.做/v,3,./v,
说 动词后接 要，我们，再，等等，看 动词,说/v+要+我们+再+等等+看/v,3,说/v 要 我们 再 等 看/v,
a 作为词性后接 好感 类型的名词,a*好感/n,3,a+好感/n,1
改革 后接 攻坚 类型的动词，再接 不停,改革 攻坚/v 不停,3,改革+攻坚/v+不停,1
不断 类型的副词后接 迈 类型的动词,不断/d+迈,3,不断/d 迈/v,1
贡献后接是动词，是动词后接亮点,贡献 是/v 亮点,3,贡献+是/v+亮点,1
动词后接交情名词,v 交情/n,3,v+交情/n,1
逗号后接恼恨动词,，/w+恼恨/v,3,， 恼恨 /v,1
调查后接句尾符号。,调查/v 。/w,3,调查/v+。/w,
名词 + 之间,运营商/n 之间,3,成功与,
动词,存在/v,3,出,
... + 动词 + 人,../v人,3,...+...人,
... + 名词 + 内向,../n内向,3,...+内向/n,
雪中送炭后紧接之,雪中送炭 /i 之,3,雪中送炭 /i + 之,
因素后紧接问号,因素 ？ /w,3,因素+？/w,1
以./v开头的单音节动词，后紧接轻了,./v 轻了,3,./v轻了,1
像是后面接讽刺，并以句号结尾,像是+讽刺/v+。,3,像是/c+讽刺+。/w,
总统后面接纳波利塔诺，并再接辞职,总统+纳波利塔诺/nr+辞职,3,总统+接纳/v+波利塔诺+辞职/vn,
男作为一个词单独出现，后面接名词,男/b+n,3,男n,1
将后接使、国企、更、好、地、融入,将 /d 使 国企 更 好 地 融入 /v,3,将 /d+ 使 + 国企 + 更 + 好 + 地 + 融入 /v,
仝江后接摄,仝江 /nr + 摄,3,仝江摄,1
吗后接问号,吗 /y + ？ /w,3,吗？,1
表示价格或费用变贵了,./v贵了,3,贵了,
表示某种风情或情调的词汇,风情/n*v,3,情调,
关于处理存在的问题或事物,处置/v 存在,3,处理/v 问题,
表示实际上与巴黎有关的内容,实际上+，/w+巴黎,3,实际上 巴黎/n,
表示一种抽象的情感，前面有形容词,a+的+感情/n,3,a的心情,
表示国际上的统筹管理,国际/n+统筹/vn,3,统筹/vn,
表示文质彬彬的人或形象,文质彬彬/nr ，,3,文气彬彬,
多么是副词，后接文雅，文雅是nr,多么/d 文雅,3,多么/d+文雅,
路后接都，都后接没，没后接走，走后接多少，路是n，都、没、走、多少都是l,路/n+都+没+走+多少/l,3,路/n+都+没+走+多少+,
v是动词，后接真心，真心是nr,v*真心/n,3,v 真心/nr,1
v是v，后接./，./后接a了，a了是连词,v ./a了,3,v+./a了,
排污权后接有偿/d，有偿/d后接使用,排污权+有偿/d+使用,3,排污权 有偿/d 使用,1
包含'发展'后跟句尾符号'。'的句子,发展 。/w,3,发展+。/w,1
包含'吴'后接人名'潇崇'的句子,吴/nr+潇崇,3,吴+潇崇/nr,1
包含'独立'后跟名词'学院'和'已经'的句子,独立 学院/n 已经,3,独立+学院/n+已经,1
包含名词后跟动词'评估'和形容词'是'的句子,后+评估/v+是,3,n 评估 a,
为此的句子，包含逗号,为此/d+， 为此/d ，,3,为此/r ，,
从来没的句子,从来/d 没,3,从来没./v,
准症结是的句子,准+症结/n+是,3,准症结/n 是,
延庆和徐小飞组合，明确区分名词和人名,延庆 徐/nr 小飞,3,延庆/n+徐小飞/nr,1
真后接希望，再接蓝,真+希望/v+蓝,3,真 希望/v 蓝,
排污权后接交易，明确区分词语和动名词,排污权 交易/vn,3,排污权 /n 交易,
什么后接是，明确区分词语和标点,什么/r 是,3,什么+是/v,
"单音节动词后接""来""",./v来,3,来./v,
"社会后接动词""参与""，句尾为句号",社会 参与/v 。,3,社会+参与/v+。,1
多个标点符号组成的序列,........./l,3,w[，+。]w,
"a后接名词""诚意""",a 诚意/n,3,a+诚意/n,1
办法作为名词，后面跟着动词‘打’，再接形容词‘好’，然后是名词‘脱贫’，最后是名词‘攻坚战’,办法/n+打+好+脱贫+攻坚战/n,3,办法打好/v 脱贫 攻坚战/n,
同时作为连词，后面跟着符号‘，’,同时/c+，,3,同时+，/w,
空格后的动词‘v’后面跟着‘算了’,../v+算了,3,空格+v+算了,1
包含单音节动词后接名词的句子,./v了n,3,./v n,1
包含 首先 后接 是 动词 再接 农业 名词 的句子,首先 是/v 农业,3,首先+是/v+农业,
包含 智库 名词 发展 动词 完善 的句子,智库/n 发展 完善/v,3,智库/n+发展+完善/v,
是单音节动词后接名词，整体表示一个动作或状态，具体意义由上下文决定,./V下w,3,是/v+n,
百日是名词，表示时间单位，行动是动词，扫黄是名词，整体表示百日进行的某项行动，目标是扫黄,百日/n+行动+扫黄/j,3,百日+行动/v+扫黄,
包含千这个数词之后紧跟遍的句子,千/m+遍/q,3,千遍,
包含一无是处这个成语之后紧跟句末符号的句子,一无是处+。/w,3,一无是处 。/w,
包含以..开头的单音节词之后紧跟性这个名词的句子,..性/n,3,.性/n,
包含'北京。'的句子,北京 。/w,3,北京+。/w,1
包含'俗称翻砂'的句子,，+俗称/v+翻砂,3,俗称翻砂,1
包含'难求，'的句子,难 求/v ，,3,难求，,1
包含'n的诚意'的句子,n+的+诚意/n,3,n的诚意,1
机会后接句尾。,机会+。/w,3,机会/n+。/w,
就是、一组成的词语,就是/d+一/m,3,就是一,1
a、善意组成的句子,a 善意/n,3,a+善意/n,
提出、八、条、成都、主张、：组成的句子,提出/v+八+条+成都+主张+：,3,提出+八/m+条+成都+主张+：,
n、来组成的句子,n 来/v ,3,n+来/v+,
共同后面是两个字的动词,共同 ../V,3,共同~,
单音节动词后面是多了,./v 多了,3,./v多了,1
地里后面是没有，人作为名词，整个句子以标点符号结束,地里 /s 没 人 。 /w,3,地里 /s+ 没 + 人 + 。 /w,
就地进行动词操作,就地+../v,3,就地v o[， 。],
目前情况,目前/t+，,3,目前情况,1
第六十二条,第六十二/m 条/q,3,第六十二条,1
整改并落实,整改+落实/v,3,整改并落实,1
金融后接服务,金融+服务/vn,3,金融+服务/n,
单个词i,..../i,3,~i,1
法治后接思维,法治 思维/n,3,法治+思维/n,
步后接走,步 走/v,3,步+走/v,
结构后接句尾符号。,结构 。/w,3,结构+。/w,1
冒号与雕刻之间有空格，雕刻与火药之间有空格,： 雕刻/v 火药,3,: 雕刻/n 火药,
冒号 和 处罚/vn 组成的句子,：/w+处罚/vn,3,：+处罚/vn,1
是/v、我家、的 和 句点 组成的句子,是/v 我家 的 。/w,3,是/v+我家+的+。/w,1
名词 好心/n 后接 动词 v 的句子,好心/n v,3,好心/n+v,1
土豆后接逗号，再接巴西,土豆 ，/w 巴西,3,土豆+，/w+巴西,1
动词依靠后接助词的，再接名词福利院,依靠+的/u+福利院,3,依靠+的+福利院/n,
动词上后接的单个+n词,上/v ../n,3,上/v+../n+,
动词后接劲头,v 劲头/n,3,v*劲头/n,
忠诚后接是，然后是中办人、的、宝贵、品质，句末有句号,忠诚/a+是+中办人+的+宝贵+品质+。/w,3,忠诚/n+是+中办人+的+宝贵+品质+。/w,1
给这个动作后接儿子，然后是做,给/p+儿子+做/v,3,给+儿子/n+做,
表示好感的名词,n+好感/n,3,n好感/n,
关于推进廉政的句子，以逗号开头,，+推进/v+廉政,3,， 推进/v 廉政,
描述利润增加与去年同期对比的句子,利润 同比/j 增,3,今年与去年利润,
询问是否会流泪的句子,，/w 你 会 掉泪 吗 ？/w,3,会不会流泪,
动词后接名词，表示表达恩情的动作,v*恩情/n,3,v 恩情/n,
使用电力对难民提供服务,用电+对/p+难民,3,使用 电力/n 难民 提供,
万全与孟加拉国进行会面,万全+会见/v+孟加拉国,3,万全+与/p+孟加拉国+会面/v,
动词后面紧跟着悬念作为名词,v 悬念/n,3,v+悬念/n,1
不是作为词，句尾以句点结束,不是 。/w,3,不是+。/w,1
发展作为动词，后面紧跟着永恒的作为形容词，再紧跟主题作为名词,发展/v+永恒+的+主题/n,3,发展/v+永恒+主题/n,
性作为名词，句尾以句点结束,.性/n,3,性+。/w,
包含'的'后接'中国/ns'，紧接着'精度',的 中国/ns 精度,3,的+中国/ns+精度,1
包含由'u'标识的词语后紧接'挂村'，然后紧随动词'整治/v',的/u 挂村 整治/v,3,挂村+整治/v,
包含'好感/n'后紧接动词'v',好感/n v,3,好感/n+v,1
携手后接补动词，补动词后接短板,携手 补/v 短板,3,携手+补/v+短板,1
警力后接增长动词，增长动词后接超,警力 增长/v 超,3,警力+增长/v+超,1
杨名词后接俊，然后依次接自信、满满，最后接句尾点,杨/nr+俊+自信+满满+。/w,3,杨 俊/a 自信 满满 。/w,
嚼的动词,嚼/v,3,嚼v,
有益的动词，之后紧跟一个句点,有益+。/w,3,有益v[， 。],
一个动词，之后紧跟懂的动词,./v懂,3,一v懂一v,
离境动词后接退税,离境/v+退税,3,离境/v+退税/v,
一系列名词接把，然后名词加动词，最后接给，再一系列名词,[n+nr]+把+n+v+给+[n+nr],4,[n+r]+把+[n+r]+给+[n+r]+,
越后面接逗号或句点,越+a[，+。],4,越[，+。],1
一举后面接逗号或句点,一举v+a[，+。],4,一举v[， 。],
遵照后接名词，句尾逗号或句点,遵照n [， 。],4,遵照n[，+。],1
以动词、形容词、名词、形容词、名词或形容词开头的句子后接'什么',w[v a n r p s]什么,4,[v+a+n+r][，+。]什么,
西门后接猪、驴、马、牛,西门[猪 驴 马 牛],4,西门[猪+驴+马+牛],1
主要、专程、专门这三个词后接动词、形容词、名词，逗号或句点作为句尾,[主要 专程 专门][v a n r][， 。],4,[主要 专程 专门]v[v a n ][， 。],
名词、动词、名词序列后接名词、动词、名词序列,[a v n]背[a v n]腰,4,[n+v+n]([n+v+n],
权威后面接名词，然后接逗号或句号,权威n[， 。],4,权威n[，+。],1
极度后面接副词，然后接逗号或句号,极度 a[， 。],4,极度+a[，+。],
动词过、名动词、量词和名词，然后必须有逗号或句号,v过m q n[， 。],4,v过m+q+n[，+。],
退、喘、树立、长成、玩儿、发明、比后接单音节字,[退 喘 树立 长成 玩儿 发明 比]个,4,[退+喘+树立+长成+玩儿+发明+比]个,
帮后接动词，然后必须有逗号或句号,帮r v [， 。],4,帮v y[， 。],
富贫两个词中间跟一个由逗号、句号、顿号、连接号、分号、v、n、m、p组成的序列,w富.贫[q+r+d+c+v+a++n+m++p]w,4,w富.贫[q r d c v a  n m  p]w,
这一后面跟一个名词，这个名词后面可以是逗号或句号,这一n[，+。],4,这一d+n[，+。],
索性后面跟一个由逗号或句号组成的序列,索性a[，+。],4,索性v[，+。],
动词 预先 后接 [u] 类型的组合，然后接 [，、。],预先v+u[，+。],4,预先v u[， 。],
副词 毫不 后接 [a] 类型的组合，然后接 [，、。],毫不d+a[，+。],4,毫不d a[， 。],
戴在前接特定名词序列，后接后缀,戴在[nt+ns+s+f+r]+,4,戴在[n+r+nr],
动词v以'竟然'开始，紧接着是名词n，然后可能是逗号或句号,竟然v+n[，+。],4,竟然v n[， 。],
形容词n以'那'开始，紧接着是名词n，然后可能是逗号或句号,那+n[，+。],4,那n+n[，+。],
动词v以'得以'开始，紧接着是动词v，后面可能是逗号或句号,得以[v+a+n+r][，+。],4,得以v+v[，+。],
名词极端后跟逗号或句号,极端n[，+。],4,极端n[， 。],
疑问词w后接一系列词，包括形容词、副词、动词、名词、动词、形容词，后跟逗号或句号，疑问词w位于句尾,w是.否[q+r+d+c+v+a++n+m++p]w,4,w[q+r+d+c+v+a++n+m++p]w,
以a开头的词语后接作品，句尾前或后接逗号或句号,a之作[，+。],4,a作品[，+。],1
当面由动词、副词组成的句子，句尾前或后接逗号或句号,当面v+u[，+。],4,当面v u[， 。],
起码由动词、形容词组成的句子，句尾前或后接逗号或句号,起码v+a[，+。],4,起码v+y[，+。],
起码、名词、标点符号（逗号或句号）,起码v+n[，+。],4,起码n[，+。],
特此、语气词、标点符号（逗号或句号）,特此v+y[，+。],4,特此v+a[，+。],
一系列动作的组合，最终结果为一个名词,[检查+付+午睡+托+断+抬+辟+叼]个,4,[叫+买+穿+卖+盗+学]个,
由从不、从此、从来组成的序列后接动词，然后接逗号或句点,[从不+从此+从来]v[v+a+n+][，+。],4,[从不 从此 从来]v[q m ]v[， 。],
由q、r、d、c、v、a、n、m、p组成的序列后接稀和稠，中间有一个句点,w[q+r+d+c+v+a++n+m++p]稀.稠w,4,w[q r d c v a  n m  p]稀.稠w,
由不可、不愧、不料组成的序列后接动词，然后接逗号或句点,[不可+不愧+不料][v+a+n+r][，+。],4,[不可 不愧 不料]v[q m ]v[， 。],
形容词极后面接副词，两者之间接逗号或句号,极+a[，+。],4,极a+v[，+。],
副词书面后面接动词，两者之间接逗号或句号,书面d+v[，+。],4,书面d v[，+。],
牢记在后接名词，名词后可接“的”、“了”或“过”,牢记在+n[+f+s],4,牢记在+n[的+了+过],1
即将动词后接形容词、名词和“的”，之后可接逗号或句号,即将v[v+a+n+r][，+。],4,即将v[v a n r][， 。],
亲笔动词后可接逗号或句号,亲笔v[，+。],4,亲笔v[， 。],
动词后接网络游戏、网游、手游、手机游戏,v[网络游戏+网游+手游+手机游戏],4,v[网络 游戏 网游 手游 手机游戏],
聚在后接nt、ns、s、f、r组成的词组，再接两个加号,聚在[nt+ns+s+f+r]++,4,聚在[nt+ns+s+f+r]+*++,
真后接叫、教、让、使、令、招、讨、遭组成的词组，再接人,真[叫+教+让+使+令+招+讨+遭]人,4,真+(v)+人{end($1)=[叫+教+让+使+令+招+讨+遭]},
